Date,X,Y,Film count
1991,Lawrence A. Bonney,8.6,1
1991, Jodie Foster,8.6,1
1991, Lawrence T. Wrentz,8.6,1
1991, Kasi Lemmons,8.6,1
1991, Linda Hamilton,8.5,3
1991,Arnold Schwarzenegger,8.5,3
1991, Edward Furlong,8.5,3
1991, Robert Patrick,8.5,3
1991, Thierry Wermuth,8.3,1
1991, Henri Labussière,8.3,1
1991, Colin O'Meara,8.3,1
1991,Christian Pelissier,8.3,1
1991, Keiko Yokozawa,8.0,1
1991, Mayumi Tanaka,8.0,1
1991, Kotoe Hatsui,8.0,1
1991,Minori Terada,8.0,1
1991, Evelyn Hamann,7.9,1
1991, Vicco von Bülow,7.9,1
1991,Irm Hermann,7.9,1
1991, Hans-Peter Korff,7.9,1
1991, Hudhail Al-Amir,7.8,1
1991, Miya McGhee,7.8,1
1991,Lloyd Avery II,7.8,1
1991, Ruth Nelson,7.8,1
1991, Angela Bassett,7.8,1
1991,Julie Kavner,7.8,1
1991, Lynn Whitfield,7.4,1
1991, Lane R. Davis,7.4,1
1991,Susan Ruttan,7.4,1
1991, Mario Van Peebles,7.4,1
1991,Lori Petty,7.3,1
1991, Akira Kamiya,7.3,1
1991, Patrick Swayze,7.3,1
1991,Kenji Utsumi,7.3,1
1991, Yuriko Yamamoto,7.3,1
1991, Jacky Cheung,7.3,1
1991,Jet Li,7.3,1
1991, Chikao Ohtsuka,7.3,1
1991, Gary Busey,7.3,1
1991, Biao Yuen,7.3,1
1991, Robert De Niro,7.25,2
1991, Tomoko Ôtakara,7.2,1
1991,Narumi Kayashima,7.2,1
1991, Sachiko Murase,7.2,1
1991, Hisashi Igawa,7.2,1
1991, Keanu Reeves,7.199999999999998,2
1991, Rosamund Kwan,7.15,2
1991, Robin Williams,7.133333333333333,3
1991, Victoria Abril,7.1,1
1991, William Richert,7.1,1
1991,Roy Cheung,7.1,1
1991, Anna Lizaran,7.1,1
1991,James Russo,7.1,1
1991, River Phoenix,7.1,1
1991, Marisa Paredes,7.1,1
1991, Man Cheung,7.1,1
1991,Miguel Bosé,7.1,1
1991,Andy Lau,7.0,1
1991, Chingmy Yau,7.0,1
1991, Michiko Nomura,7.0,1
1991, Nobuyo Ôyama,7.0,1
1991, Kaneta Kimotsuki,7.0,1
1991,Noriko Ohara,7.0,1
1991, Christopher Lloyd,6.9,2
1991, O.J. Simpson,6.9,1
1991, Dan Aykroyd,6.9,2
1991, Anjelica Huston,6.9,2
1991, Priscilla Presley,6.9,1
1991, Man-Tat Ng,6.9,2
1991, Macaulay Culkin,6.9,2
1991,Anna Chlumsky,6.9,2
1991, George Kennedy,6.9,1
1991,Leslie Nielsen,6.9,1
1991, Jamie Lee Curtis,6.9,2
1991,Raul Julia,6.9,2
1991, Dan Hedaya,6.9,2
1991, Warren Beatty,6.8,1
1991, Kong Chu,6.8,1
1991, Charlie Sheen,6.8,1
1991, Rafik Ali Ahmad,6.8,1
1991, Hippolyte Girardot,6.8,1
1991, Bob Hoskins,6.8,2
1991, Victor Hon,6.8,1
1991, Ben Kingsley,6.8,1
1991, Valeria Golino,6.8,1
1991, Harvey Keitel,6.8,1
1991,Annette Bening,6.8,1
1991,Cherie Chung,6.8,1
1991, Habib Hammoud,6.8,1
1991,Hussein Sbeity,6.8,1
1991, Leslie Cheung,6.8,1
1991,Sung Young Chen,6.8,1
1991, Lloyd Bridges,6.8,1
1991,Dustin Hoffman,6.8,2
1991, Elvis Tsui,6.8,1
1991, Yun-Fat Chow,6.8,2
1991,Cary Elwes,6.8,1
1991, Stephen Chow,6.76,5
1991, Wesley Snipes,6.7,1
1991, Allen Payne,6.7,1
1991, Victoria Tennant,6.7,1
1991, Kurt Russell,6.7,1
1991,Donald Sutherland,6.7,1
1991, Chris Rock,6.7,1
1991,Ice-T,6.7,1
1991,Steve Martin,6.7,1
1991, William Baldwin,6.7,1
1991, Richard E. Grant,6.7,1
1991, Ray Lui,6.7,1
