Genre,Date,X,Y
 Action,1991,Toyoo Ashida,7.3
 Action,1991,Osamu Dezaki,6.5
 Action,1991, Lik-Chi Lee,6.4
 Action,1991,Danny Lee,6.4
 Action,1992, Kazuyoshi Katayama,8.0
 Action,1992, Shigeto Makino,8.0
 Action,1992, Yasuhiro Imagawa,8.0
 Action,1992, Yasunori Urata,8.0
 Action,1992,Setsuo Takase,8.0
 Action,1992,Osamu Dezaki,6.6
 Action,1993, Bruce Timm,7.8
 Action,1993, Dan Riba,7.8
 Action,1993, Eric Radomski,7.8
 Action,1993, Frank Paur,7.8
 Action,1993, Kevin Altieri,7.8
 Action,1993,Boyd Kirkland,7.8
 Action,1993,Tsutomu Shibayama,6.9
 Action,1993,Mitsuru Hongo,6.6
 Action,1994,Masaharu Okuwaki,6.8
 Action,1994,Yoshihiro Ueda,6.0
 Action,1995,Shigeyasu Yamauchi,7.7
 Action,1995,Osamu Dezaki,7.0
 Action,1996,Mamoru Oshii,8.0
 Action,1996,Tsutomu Shibayama,6.8
 Action,1997,Hayao Miyazaki,8.4
 Action,1997, Toshiya Shinohara,7.2
 Action,1997,Hiroyuki Yano,7.2
 Action,1998,Toshiya Shinohara,7.2
 Action,1999,Morio Asaka,8.2
 Action,1999,Brad Bird,8.0
 Action,1999,Tsutomu Shibayama,6.3
 Action,2000,Hiroki Shibata,7.6
 Action,2000,Hideki Tonokatsu,7.2
 Action,2000,Atsuji Shimizu,6.7
 Action,2001,Tsuji Hajiki,7.5
 Action,2001,Jan Sverák,7.2
 Action,2001,Tsutomu Shibayama,6.8
 Action,2001,Mitsuo Hashimoto,6.7
 Action,2001, Peter Farrelly,6.3
 Action,2001,Bobby Farrelly,6.3
 Action,2001,John A. Davis,6.0
 Action,2002, Hideaki Anno,8.1
 Action,2002,Kazuya Tsurumaki,8.1
 Action,2002,Daisuke Nishio,7.1
 Action,2002,Jeff Tremaine,6.6
 Action,2002,Atsuji Shimizu,6.5
 Action,2003, Shin'ichirô Watanabe,7.9
 Action,2003, Tensai Okamura,7.9
 Action,2003, Yoshiyuki Takei,7.9
 Action,2003,Hiroyuki Okiura,7.9
 Action,2003,Minoru Ôhara,7.7
 Action,2003,Kônosuke Uda,7.3
 Action,2003,Kenji Kodama,7.1
 Action,2003,Kitarô Kôsaka,7.0
 Action,2003,Katsuyuki Motohiro,5.8
 Action,2004,Mamoru Oshii,7.5
 Action,2004, Mark Osborne,7.1
 Action,2004,Stephen Hillenburg,7.1
 Action,2004,Kazuhisa Takenouchi,6.8
 Action,2004,Michael Keusch,4.8
 Action,2005,Toshiya Shinohara,7.3
 Action,2005,Mamoru Hosoda,7.2
 Action,2005,Katsuhiro Ôtomo,6.9
 Action,2005, Shin'ichi Watanabe,6.7
 Action,2005,Setsuo Takase,6.7
 Action,2005,Yoshiyuki Tomino,6.6
 Action,2006,Mitsuo Hashimoto,7.5
 Action,2006,Toshiya Shinohara,7.5
 Action,2006,Noriyuki Abe,7.2
 Action,2006,Jeff Tremaine,7.0
 Action,2006,Takahiro Imamura,6.8
 Action,2006,Yoshiyuki Tomino,6.7
 Action,2006,Kônosuke Uda,6.6
 Action,2006,Hajime Kamegaki,6.5
 Action,2007, Milos Loncarevic,7.1
 Action,2007,Asger Leth,7.1
 Action,2007,Noriyuki Abe,7.1
 Action,2007,Takahiro Imamura,7.0
 Action,2007,Tensai Okamura,6.7
 Action,2007,Hidehito Ueda,6.6
 Action,2007,Jeff Tremaine,6.4
 Action,2007,Robert Zemeckis,6.2
 Action,2008, Mark Osborne,7.5
 Action,2008,John Stevenson,7.5
 Action,2008,Atsuji Shimizu,7.1
 Action,2008,Kôbun Shizuno,7.0
 Action,2008,Hirotsugu Kawasaki,6.6
 Action,2008,Tetsurô Amino,6.6
 Action,2008,Toshiyuki Tsuru,6.5
 Action,2009,Alon Gur Arye,7.7
 Action,2009,Munehisa Sakai,7.6
 Action,2009,Kenji Kamiyama,7.0
 Action,2009,Hajime Kamegaki,6.9
 Action,2009,Tomoki Kyôda,6.4
 Action,2009,David Bowers,6.3
 Action,2009, Rodolfo Riva Palacio Alatriste,6.1
 Action,2009,Gabriel Riva Palacio Alatriste,6.1
 Action,2009,Mark A.Z. Dippé,4.2
 Action,2010, Chris Sanders,8.1
 Action,2010,Dean DeBlois,8.1
 Action,2010,Scott Varnado,7.8
 Action,2010,Tom McGrath,7.2
 Action,2010,Jeff Tremaine,7.0
 Action,2010, Ken'ichi Takeshita,6.9
 Action,2010,Yuji Yamaguchi,6.9
 Action,2010,Zack Snyder,6.9
 Action,2010,Sam Liu,6.8
 Action,2010,Tim Johnson,6.8
 Action,2010,Tetsurô Amino,6.5
 Action,2010,Ken'ichi Takeshita,6.4
 Action,2011,Yukiyo Teramoto,7.4
 Action,2011,Noriyuki Abe,7.3
 Action,2011,Steven Spielberg,7.3
 Action,2011,Jennifer Yuh Nelson,7.2
 Action,2011,Hajime Kamegaki,7.0
 Action,2011,Jeff Tremaine,6.7
 Action,2011,Chris Miller,6.6
 Action,2011,Jesus Orellana,6.6
 Action,2011,Sam Liu,6.3
 Action,2012,Kenji Kamiyama,8.0
 Action,2012,Tatsuya Nagamine,7.9
 Action,2012,Kazuhiro Furuhashi,7.8
 Action,2012,Mark Neale,7.8
 Action,2012,Toshiyuki Kubooka,7.699999999999999
 Action,2012,Noriyuki Abe,7.4
 Action,2012,Peter Ramsey,7.3
 Action,2012,Masahiko Murata,7.2
 Action,2012,Masaya Fujimori,7.1
 Action,2012,Kazuya Murata,7.0
 Action,2012,Arnab Chaudhuri,6.8
 Action,2012, Gregg Godfrey,6.7
 Action,2012,Jeremy Rawle,6.7
 Action,2012,Kôzô Kusuba,6.7
