Genre,Date,Original,SorM,Director,AvgRating,dir1
 Action,1972,0,Movie,"Ishirô Honda, Yoshimitsu Banno",6.1,Ishirô Honda
 Action,1980,0,Movie,Georges Lautner,6.1,Georges Lautner
 Action,1981,0,Movie,Rintaro,7.4,Rintaro
 Action,1981,0,Movie,"Yoshiyuki Tomino, Yoshikazu Yasuhiko",7.3,Yoshiyuki Tomino
 Action,1982,0,Movie,"Yoshiyuki Tomino, Yoshikazu Yasuhiko",7.7,Yoshiyuki Tomino
 Action,1983,0,Series,"Charles Swenson, John Korty",6.9,Charles Swenson
 Action,1988,0,Movie,Katsuhiro Ôtomo,8.0,Katsuhiro Ôtomo
 Action,1988,0,Movie,Yoshiyuki Tomino,7.4,Yoshiyuki Tomino
 Action,1989,0,Movie,Osamu Dezaki,6.6,Osamu Dezaki
 Action,1990,0,Movie,Kenji Kodama,7.1,Kenji Kodama
 Action,1991,0,Series,Toyoo Ashida,7.3,Toyoo Ashida
 Action,1991,0,Movie,Osamu Dezaki,6.5,Osamu Dezaki
 Action,1991,0,Movie,"Danny Lee, Lik-Chi Lee",6.4,Danny Lee
 Action,1992,0,Series,"Setsuo Takase, Yasunori Urata, Shigeto Makino, Yasuhiro Imagawa, Kazuyoshi Katayama",8.0,Setsuo Takase
 Action,1992,0,Movie,Osamu Dezaki,6.6,Osamu Dezaki
 Action,1993,0,Movie,"Boyd Kirkland, Kevin Altieri, Frank Paur, Eric Radomski, Bruce Timm, Dan Riba",7.8,Boyd Kirkland
 Action,1993,0,Movie,Tsutomu Shibayama,6.9,Tsutomu Shibayama
 Action,1993,0,Series,Mitsuru Hongo,6.6,Mitsuru Hongo
 Action,1994,0,Movie,Masaharu Okuwaki,6.8,Masaharu Okuwaki
 Action,1994,0,Movie,Yoshihiro Ueda,6.0,Yoshihiro Ueda
 Action,1995,0,Movie,Shigeyasu Yamauchi,7.7,Shigeyasu Yamauchi
 Action,1995,0,Movie,Osamu Dezaki,7.0,Osamu Dezaki
 Action,1996,0,Movie,Mamoru Oshii,8.0,Mamoru Oshii
 Action,1996,0,Movie,Tsutomu Shibayama,6.8,Tsutomu Shibayama
 Action,1997,0,Movie,Hayao Miyazaki,8.4,Hayao Miyazaki
 Action,1997,0,Movie,"Hiroyuki Yano, Toshiya Shinohara",7.2,Hiroyuki Yano
 Action,1998,0,Movie,Toshiya Shinohara,7.2,Toshiya Shinohara
 Action,1999,0,Series,Morio Asaka,8.2,Morio Asaka
 Action,1999,0,Movie,Brad Bird,8.0,Brad Bird
 Action,1999,0,Movie,Tsutomu Shibayama,6.3,Tsutomu Shibayama
 Action,2000,0,Movie,Hiroki Shibata,7.6,Hiroki Shibata
 Action,2000,0,Movie,Hideki Tonokatsu,7.2,Hideki Tonokatsu
 Action,2000,0,Movie,Atsuji Shimizu,6.7,Atsuji Shimizu
 Action,2001,0,Movie,Tsuji Hajiki,7.5,Tsuji Hajiki
 Action,2001,0,Movie,Jan Sverák,7.2,Jan Sverák
 Action,2001,0,Movie,Tsutomu Shibayama,6.8,Tsutomu Shibayama
 Action,2001,0,Movie,Mitsuo Hashimoto,6.7,Mitsuo Hashimoto
 Action,2001,0,Movie,"Bobby Farrelly, Peter Farrelly",6.3,Bobby Farrelly
 Action,2001,0,Movie,John A. Davis,6.0,John A. Davis
 Action,2002,0,Movie,"Kazuya Tsurumaki, Hideaki Anno",8.1,Kazuya Tsurumaki
 Action,2002,0,Movie,Daisuke Nishio,7.1,Daisuke Nishio
 Action,2002,0,Movie,Jeff Tremaine,6.6,Jeff Tremaine
 Action,2002,0,Movie,Atsuji Shimizu,6.5,Atsuji Shimizu
 Action,2003,0,Movie,"Hiroyuki Okiura, Yoshiyuki Takei, Shin'ichirô Watanabe, Tensai Okamura",7.9,Hiroyuki Okiura
 Action,2003,0,Movie,Minoru Ôhara,7.7,Minoru Ôhara
 Action,2003,0,Movie,Kônosuke Uda,7.3,Kônosuke Uda
 Action,2003,0,Movie,Kenji Kodama,7.1,Kenji Kodama
 Action,2003,0,Movie,Kitarô Kôsaka,7.0,Kitarô Kôsaka
 Action,2003,0,Movie,Katsuyuki Motohiro,5.8,Katsuyuki Motohiro
 Action,2004,0,Movie,Mamoru Oshii,7.5,Mamoru Oshii
 Action,2004,0,Movie,"Stephen Hillenburg, Mark Osborne",7.1,Stephen Hillenburg
 Action,2004,0,Movie,Kazuhisa Takenouchi,6.8,Kazuhisa Takenouchi
 Action,2004,0,Movie,Michael Keusch,4.8,Michael Keusch
 Action,2005,0,Movie,Toshiya Shinohara,7.3,Toshiya Shinohara
 Action,2005,0,Movie,Mamoru Hosoda,7.2,Mamoru Hosoda
 Action,2005,0,Movie,Katsuhiro Ôtomo,6.9,Katsuhiro Ôtomo
 Action,2005,0,Movie,"Setsuo Takase, Shin'ichi Watanabe",6.7,Setsuo Takase
 Action,2005,0,Movie,Yoshiyuki Tomino,6.6,Yoshiyuki Tomino
 Action,2006,0,Movie,Mitsuo Hashimoto,7.5,Mitsuo Hashimoto
 Action,2006,0,Movie,Toshiya Shinohara,7.5,Toshiya Shinohara
 Action,2006,0,Movie,Noriyuki Abe,7.2,Noriyuki Abe
 Action,2006,0,Movie,Jeff Tremaine,7.0,Jeff Tremaine
 Action,2006,0,Movie,Takahiro Imamura,6.8,Takahiro Imamura
 Action,2006,0,Movie,Yoshiyuki Tomino,6.7,Yoshiyuki Tomino
 Action,2006,0,Movie,Kônosuke Uda,6.6,Kônosuke Uda
 Action,2006,0,Movie,Hajime Kamegaki,6.5,Hajime Kamegaki
 Action,2007,0,Movie,"Asger Leth, Milos Loncarevic",7.1,Asger Leth
 Action,2007,0,Movie,Noriyuki Abe,7.1,Noriyuki Abe
 Action,2007,0,Movie,Takahiro Imamura,7.0,Takahiro Imamura
 Action,2007,0,Movie,Tensai Okamura,6.7,Tensai Okamura
 Action,2007,0,Movie,Hidehito Ueda,6.6,Hidehito Ueda
 Action,2007,0,Movie,Jeff Tremaine,6.4,Jeff Tremaine
 Action,2007,0,Movie,Robert Zemeckis,6.2,Robert Zemeckis
 Action,2008,0,Movie,"John Stevenson, Mark Osborne",7.5,John Stevenson
 Action,2008,0,Movie,Atsuji Shimizu,7.1,Atsuji Shimizu
 Action,2008,0,Movie,Kôbun Shizuno,7.0,Kôbun Shizuno
 Action,2008,0,Movie,Hirotsugu Kawasaki,6.6,Hirotsugu Kawasaki
 Action,2008,0,Movie,Tetsurô Amino,6.6,Tetsurô Amino
 Action,2008,0,Movie,Toshiyuki Tsuru,6.5,Toshiyuki Tsuru
 Action,2009,0,Series,Alon Gur Arye,7.7,Alon Gur Arye
 Action,2009,0,Movie,Munehisa Sakai,7.6,Munehisa Sakai
 Action,2009,0,Series,Kenji Kamiyama,7.0,Kenji Kamiyama
 Action,2009,0,Movie,Hajime Kamegaki,6.9,Hajime Kamegaki
 Action,2009,0,Movie,Tomoki Kyôda,6.4,Tomoki Kyôda
 Action,2009,0,Movie,David Bowers,6.3,David Bowers
 Action,2009,0,Series,David Bowers,6.3,David Bowers
 Action,2009,0,Movie,"Gabriel Riva Palacio Alatriste, Rodolfo Riva Palacio Alatriste",6.1,Gabriel Riva Palacio Alatriste
 Action,2009,0,Movie,Mark A.Z. Dippé,4.2,Mark A.Z. Dippé
 Action,2010,0,Movie,"Dean DeBlois, Chris Sanders",8.1,Dean DeBlois
 Action,2010,0,Movie,Scott Varnado,7.8,Scott Varnado
 Action,2010,0,Movie,Tom McGrath,7.2,Tom McGrath
 Action,2010,0,Movie,Jeff Tremaine,7.0,Jeff Tremaine
 Action,2010,0,Movie,"Yuji Yamaguchi, Ken'ichi Takeshita",6.9,Yuji Yamaguchi
 Action,2010,0,Movie,Zack Snyder,6.9,Zack Snyder
 Action,2010,0,Movie,Sam Liu,6.8,Sam Liu
 Action,2010,0,Movie,Tim Johnson,6.8,Tim Johnson
 Action,2010,0,Movie,Tetsurô Amino,6.5,Tetsurô Amino
 Action,2010,0,Movie,Ken'ichi Takeshita,6.4,Ken'ichi Takeshita
 Action,2011,0,Movie,Yukiyo Teramoto,7.4,Yukiyo Teramoto
 Action,2011,0,Movie,Noriyuki Abe,7.3,Noriyuki Abe
 Action,2011,0,Movie,Steven Spielberg,7.3,Steven Spielberg
 Action,2011,0,Movie,Jennifer Yuh Nelson,7.2,Jennifer Yuh Nelson
 Action,2011,0,Movie,Hajime Kamegaki,7.0,Hajime Kamegaki
 Action,2011,0,Movie,Jeff Tremaine,6.7,Jeff Tremaine
 Action,2011,0,Movie,Chris Miller,6.6,Chris Miller
 Action,2011,0,Movie,Jesus Orellana,6.6,Jesus Orellana
 Action,2011,0,Movie,Sam Liu,6.3,Sam Liu
 Action,2012,0,Movie,Kenji Kamiyama,8.0,Kenji Kamiyama
