Actors,Title,X,Y
 2'Live Bre,Rhythm + Flow,2019,7.7
 50 Cent,Get Rich or Die Tryin,2005,5.4
 50 Cent,Righteous Kill,2008,6
 50 Cent,Freelancers,2013,4.7
 50 Cent,Den of Thieves,2018,7
 50 Cent,Escape Plan: The Extractors,2019,4.4
 A. Russell Andrews,The Punisher,2004,6.4
 A.J. Cook,Criminal Minds,2005,8.1
 A.J. Daulerio,Nobody Speak: Trials of the Free Press,2017,6.5
 A.J. LoCascio,Dawn of the Croods,2015,6
 A.J. LoCascio,LEGO Jurassic World: The Indominus Escape,2016,5.7
 A.S. Sasi Kumar,Manusangada,2018,8
 AJ Bowen,Youre Next,2013,6.6
 AJ Meijer,The Laundromat,2019,6.3
 AJ Michalka,Grace Unplugged,2014,6.1
 AJ Michalka,She-Ra and the Princesses of Power,2018,7.8
 AJ Rivera,Escape from Mr. Lemoncello’s Library,2017,5.3
 ASAP Rocky,Dope,2015,7.2
 ASAP Rocky,Have a Good Trip: Adventures in Psychedelics,2020,6.8
 Aadarsh Balakrishna,W/O Ram,2018,6.1
 Aadhi,Neevevaro,2018,6.8
 Aakash Banerjee,Kaakan,2015,8
 Aakash Pandey,Shabd,2005,5.1
 Aakshath Das,Mersal,2017,7.6
 Aakshath Das,Serious Men,2020,6.8
 Aaliyah Cinello,Mighty Express: A Mighty Christmas,2020,5
 Aamir Bashir,Gurgaon,2017,6.5
 Aamir Khan,Heart & Soul,1990,6.7
 Aamir Khan,Andaz Apna Apna,1994,8.2
 Aamir Khan,Mann,1999,6.2
 Aamir Khan,Dil Chahta Hai,2001,8.1
 Aamir Khan,Lagaan,2001,8.1
 Aamir Khan,Rang De Basanti,2006,8.2
 Aamir Khan,Taare Zameen Par,2007,8.4
 Aamir Khan,Dhobi Ghat (Mumbai Diaries),2011,7
 Aamir Khan,Dangal,2016,8.4
 Aamir Khan,Secret Superstar,2017,7.8
 Aaran Thomas,Hannibal Rising,2007,6.2
 Aarif Rahman,The Allure of Tears,2011,5
 Aarif Rahman,The Thousand Faces of Dunjia,2017,5.4
 Aarnaa Sharma,Typewriter,2019,6.5
 Aaron Abrams,Entangled,2014,8.1
 Aaron Adatsi,Sidechic Gang,2018,5.9
 Aaron Altaras,The Invisibles,2017,7.1
 Aaron Altaras,The Invisibles,2017,7.1
 Aaron Benjamin,Honey 2,2011,5.3
 Aaron Burns,Knock Knock,2015,4.9
 Aaron Campbell,The Helpful Fox Senko-san,2019,6.8
 Aaron Conley,Angelo Rules,2010,6.4
 Aaron Dismuke,Fullmetal Alchemist,2004,8.5
 Aaron Dismuke,Ping Pong the Animation,2014,8.6
 Aaron Dismuke,blood blockade battlefront,2015,7.3
 Aaron Dismuke,Bem,2019,6
 Aaron Eckhart,Paycheck,2003,6.3
 Aaron Eckhart,No Reservations,2007,6.3
 Aaron Eckhart,The Dark Knight,2008,9
 Aaron Eckhart,Love Happens,2009,5.7
 Aaron Eckhart,Erased,2012,6.1
 Aaron Eckhart,The Expatriate,2012,6.1
 Aaron Eckhart,Olympus Has Fallen,2013,6.5
 Aaron Eckhart,"I, Frankenstein",2014,5.1
 Aaron Eckhart,My All American,2015,7.2
 Aaron Eckhart,Sully,2016,7.4
 Aaron Eckhart,Bleed for This,2016,6.8
 Aaron Eckhart,Incarnate,2016,5.3
 Aaron Farb,The Leaves,2019,4.6
 Aaron Glenane,2067,2020,4.8
 Aaron Guy,Giving Voice,2020,6.7
 Aaron Harberts,After Trek,2017,4.9
 Aaron Hill,A Perfect Christmas List,2014,5.7
 Aaron Jakubenko,The Shannara Chronicles,2016,7.2
 Aaron Jakubenko,Tidelands,2018,7
 Aaron Kao,Gone Shopping,2007,6.6
 Aaron Kwok,The Bare-Footed Kid,1993,6.5
 Aaron Kwok,Future Cops,1993,6
 Aaron Kwok,The Storm Riders,1998,6.4
 Aaron Kwok,Para Para Sakura,2001,5.8
 Aaron Kwok,Cold War,2012,6.6
 Aaron Kwok,The Monkey King: Havoc in Heavens Palace,2016,4.9
 Aaron Kwok,The Monkey King 2,2016,5.9
 Aaron Kwok,The Monkey King 3,2018,5.5
 Aaron McCusker,Incoming,2018,3.3
 Aaron Moten,Disjointed,2017,6.8
 Aaron Paul,Breaking Bad,2008,9.5
 Aaron Paul,A Long Way Down,2014,6.4
 Aaron Paul,Exodus: Gods and Kings,2014,6
 Aaron Paul,Need for Speed,2014,6.4
 Aaron Paul,Come and Find Me,2016,5.7
 Aaron Paul,Fathers and Daughters,2016,7.1
 Aaron Paul,Kingsglaive: Final Fantasy XV,2016,6.8
 Aaron Paul,Welcome Home,2018,5.2
 Aaron Paul,The Parts You Lose,2019,5.6
 Aaron Paul,El Camino: A Breaking Bad Movie,2019,7.3
 Aaron Pedersen,Goldstone,2016,6.5
 Aaron Pedersen,Jack Irish: The Series,2017,7.8
 Aaron Phillips,Great Pretender,2020,8
 Aaron Stanford,12 Monkeys,2015,7.7
 Aaron Stanford,Clinical,2017,5.1
 Aaron Stielstra,Zombie Massacre 2: Reich of the Dead,2015,2.4
 Aaron Taylor-Johnson,"Angus, Thongs and Perfect Snogging",2008,6.3
 Aaron Taylor-Johnson,Kick-Ass,2010,7.6
 Aaron Taylor-Johnson,Savages,2012,6.5
 Aaron Taylor-Johnson,Kick-Ass 2,2013,6.5
 Aaron Taylor-Johnson,Godzilla,2014,6.4
 Aaron Taylor-Johnson,Godzilla,2014,6.4
 Aaron Taylor-Johnson,Godzilla & Mothra: Battle for Earth,2014,6.4
 Aaron Taylor-Johnson,Nocturnal Animals,2016,7.5
 Aaron Yoo,21,2008,6.8
 Aarre Karén,"Little Brother, Big Trouble",2012,5.7
 Aaru Bala,Merku Thodarchi Malai,2018,8.6
 Aaryan Menon,Lilli,2018,5.8
 Aashish Bhatt,Umrika,2017,6.6
 Aashritha,Orange Mittai,2015,6.5
 Abbey Hoes,Verliefd Op Cuba,2019,4.9
 Abbey Lee,Elizabeth Harvest,2018,5.8
 Abbey Lee,Outlaws,2019,5.3
 Abbie Cornish,Legend of the Guardians: The Owls of GaHoole,2010,6.9
 Abbie Cornish,Limitless,2011,7.4
 Abbie Cornish,Sucker Punch,2011,6
 Abbie Cornish,W.E.,2012,6.3
 Abbie Cornish,RoboCop,2014,6.1
 Abbie Cornish,Solace,2016,6.4
 Abbie Cornish,Lavender,2017,5.4
 Abbie Cornish,Geostorm,2017,5.3
 Abbie Cornish,6 Days,2017,6.2
 Abbie Cornish,Where Hands Touch,2018,6.3
 Abbie Davis,Fire in Paradise,2019,7.4
 Abbie Schaub,The Keepers,2017,8.1
 Abboudy Mallah,What Did I Mess,2018,7.2
 Abby Craden,Upgrade,2018,7.5
 Abby Donnelly,Malibu Rescue,2019,5.3
 Abby Miller,أحمد حلمي - ليلى عز العرب - محمد فرج,2012,7.2
 Abby Quinn,After The Wedding,2019,6.3
 Abby Ryder Fortson,Forever My Girl,2018,6.7
 Abby Trott,Carmen Sandiego,2019,7.9
 Abby Trott,Carmen Sandiego: To Steal or Not to Steal,2020,7
 Abdalla Bu Abed,Rattle the Cage,2015,6.7
 Abdel Imam Abdullah,Menahi,2008,6.1
 Abdellatif Chaouqi,Close,2019,5.7
 Abderrahman Abou El Qassem,Waiting,2006,5.1
 Abdullah Al-Busairi,Wedy Atkalam,2018,6
 Abdullah Alzaid,Zero distance,2020,7
 Abdullah Bin Heider,Hajwala: The Missing Engine,2016,2.1
 Abdullah Bin Heider,Fan of Amoory,2020,5.1
 Abdullah Husain,Freej,2006,8.5
 Abdullah Ibrahim,Amandla! A Revolution in Four Part Harmony,2003,7.4
 Abdullah Jan Ghaznavi,"Abdullah, The Final Witness",2016,7
 Abdur-Rahman Muhammad,Who Killed Malcolm X?,2020,7.6
 Abe Vigoda,Good Burger,1997,5.7
 Abel Folk,The Barrier,2020,6.8
 Abel Morrison,Three Wives One Husband,2017,6.5
 Abhay Deol,Socha Na Tha,2005,7.4
 Abhay Deol,Honeymoon Travels Pvt. Ltd.,2007,6.1
 Abhay Deol,Manorama Six Feet Under,2007,7.6
 Abhay Deol,Oye Lucky! Lucky Oye!,2008,7.7
 Abhay Deol,Dev.D,2009,8.6
