,Actors,Title,X,Y
0, 2'Live Bre,Rhythm + Flow,2019,7.7
1, 50 Cent,Get Rich or Die Tryin,2005,5.4
2, 50 Cent,Righteous Kill,2008,6.0
3, 50 Cent,Freelancers,2013,4.7
4, 50 Cent,Den of Thieves,2018,7.0
5, 50 Cent,Escape Plan: The Extractors,2019,4.4
6, A. Russell Andrews,The Punisher,2004,6.4
7, A.J. Cook,Criminal Minds,2005,8.1
8, A.J. Daulerio,Nobody Speak: Trials of the Free Press,2017,6.5
9, A.J. LoCascio,Dawn of the Croods,2015,6.0
10, A.J. LoCascio,LEGO Jurassic World: The Indominus Escape,2016,5.7
11, A.S. Sasi Kumar,Manusangada,2018,8.0
12, AJ Bowen,Youre Next,2013,6.6
13, AJ Meijer,The Laundromat,2019,6.3
14, AJ Michalka,Grace Unplugged,2014,6.1
15, AJ Michalka,She-Ra and the Princesses of Power,2018,7.8
16, AJ Rivera,Escape from Mr. Lemoncello’s Library,2017,5.3
17, ASAP Rocky,Dope,2015,7.2
18, ASAP Rocky,Have a Good Trip: Adventures in Psychedelics,2020,6.8
19, Aadarsh Balakrishna,W/O Ram,2018,6.1
20, Aadhi,Neevevaro,2018,6.8
21, Aakash Banerjee,Kaakan,2015,8.0
22, Aakash Pandey,Shabd,2005,5.1
23, Aakshath Das,Mersal,2017,7.6
24, Aakshath Das,Serious Men,2020,6.8
25, Aaliyah Cinello,Mighty Express: A Mighty Christmas,2020,5.0
26, Aamir Bashir,Gurgaon,2017,6.5
27, Aamir Khan,Heart & Soul,1990,6.7
28, Aamir Khan,Andaz Apna Apna,1994,8.2
29, Aamir Khan,Mann,1999,6.2
30, Aamir Khan,Dil Chahta Hai,2001,8.1
31, Aamir Khan,Lagaan,2001,8.1
32, Aamir Khan,Rang De Basanti,2006,8.2
33, Aamir Khan,Taare Zameen Par,2007,8.4
34, Aamir Khan,Dhobi Ghat (Mumbai Diaries),2011,7.0
35, Aamir Khan,Dangal,2016,8.4
36, Aamir Khan,Secret Superstar,2017,7.8
37, Aaran Thomas,Hannibal Rising,2007,6.2
38, Aarif Rahman,The Allure of Tears,2011,5.0
39, Aarif Rahman,The Thousand Faces of Dunjia,2017,5.4
40, Aarnaa Sharma,Typewriter,2019,6.5
41, Aaron Abrams,Entangled,2014,8.1
42, Aaron Adatsi,Sidechic Gang,2018,5.9
43, Aaron Altaras,The Invisibles,2017,7.1
44, Aaron Altaras,The Invisibles,2017,7.1
45, Aaron Benjamin,Honey 2,2011,5.3
46, Aaron Burns,Knock Knock,2015,4.9
47, Aaron Campbell,The Helpful Fox Senko-san,2019,6.8
48, Aaron Conley,Angelo Rules,2010,6.4
49, Aaron Dismuke,Fullmetal Alchemist,2004,8.5
50, Aaron Dismuke,Ping Pong the Animation,2014,8.6
51, Aaron Dismuke,blood blockade battlefront,2015,7.3
52, Aaron Dismuke,Bem,2019,6.0
53, Aaron Eckhart,Paycheck,2003,6.3
54, Aaron Eckhart,No Reservations,2007,6.3
55, Aaron Eckhart,The Dark Knight,2008,9.0
56, Aaron Eckhart,Love Happens,2009,5.7
57, Aaron Eckhart,Erased,2012,6.1
58, Aaron Eckhart,The Expatriate,2012,6.1
59, Aaron Eckhart,Olympus Has Fallen,2013,6.5
60, Aaron Eckhart,"I, Frankenstein",2014,5.1
61, Aaron Eckhart,My All American,2015,7.2
62, Aaron Eckhart,Sully,2016,7.4
63, Aaron Eckhart,Bleed for This,2016,6.8
64, Aaron Eckhart,Incarnate,2016,5.3
65, Aaron Farb,The Leaves,2019,4.6
66, Aaron Glenane,2067,2020,4.8
67, Aaron Guy,Giving Voice,2020,6.7
68, Aaron Harberts,After Trek,2017,4.9
69, Aaron Hill,A Perfect Christmas List,2014,5.7
70, Aaron Jakubenko,The Shannara Chronicles,2016,7.2
71, Aaron Jakubenko,Tidelands,2018,7.0
72, Aaron Kao,Gone Shopping,2007,6.6
73, Aaron Kwok,The Bare-Footed Kid,1993,6.5
74, Aaron Kwok,Future Cops,1993,6.0
75, Aaron Kwok,The Storm Riders,1998,6.4
76, Aaron Kwok,Para Para Sakura,2001,5.8
77, Aaron Kwok,Cold War,2012,6.6
78, Aaron Kwok,The Monkey King: Havoc in Heavens Palace,2016,4.9
79, Aaron Kwok,The Monkey King 2,2016,5.9
80, Aaron Kwok,The Monkey King 3,2018,5.5
81, Aaron McCusker,Incoming,2018,3.3
82, Aaron Moten,Disjointed,2017,6.8
83, Aaron Paul,Breaking Bad,2008,9.5
84, Aaron Paul,A Long Way Down,2014,6.4
85, Aaron Paul,Exodus: Gods and Kings,2014,6.0
86, Aaron Paul,Need for Speed,2014,6.4
87, Aaron Paul,Come and Find Me,2016,5.7
88, Aaron Paul,Fathers and Daughters,2016,7.1
89, Aaron Paul,Kingsglaive: Final Fantasy XV,2016,6.8
90, Aaron Paul,Welcome Home,2018,5.2
91, Aaron Paul,The Parts You Lose,2019,5.6
92, Aaron Paul,El Camino: A Breaking Bad Movie,2019,7.3
93, Aaron Pedersen,Goldstone,2016,6.5
94, Aaron Pedersen,Jack Irish: The Series,2017,7.8
95, Aaron Phillips,Great Pretender,2020,8.0
96, Aaron Stanford,12 Monkeys,2015,7.7
