Year,Original,Series or Movie,Films,Rating,Genre
2010.0,0.0,Movie,75,6.4719999999999995,ACTION
2010.0,0.0,Series,13,7.638461538461538,ACTION
2011.0,0.0,Movie,80,6.2700000000000005,ACTION
2011.0,0.0,Series,13,7.292307692307692,ACTION
2012.0,0.0,Movie,96,6.429166666666667,ACTION
2012.0,0.0,Series,23,7.439130434782609,ACTION
2012.0,1.0,Series,1,8.0,ACTION
2013.0,0.0,Movie,100,6.278,ACTION
2013.0,0.0,Series,27,7.048148148148148,ACTION
2013.0,1.0,Series,1,6.6,ACTION
2014.0,0.0,Movie,121,6.142148760330579,ACTION
2014.0,0.0,Series,28,7.125,ACTION
2015.0,0.0,Movie,133,6.158646616541353,ACTION
2015.0,0.0,Series,43,7.1720930232558135,ACTION
2015.0,1.0,Movie,2,4.449999999999999,ACTION
2015.0,1.0,Series,2,6.85,ACTION
2016.0,0.0,Movie,145,6.1227586206896545,ACTION
2016.0,0.0,Series,44,7.145454545454545,ACTION
2016.0,1.0,Movie,6,6.266666666666667,ACTION
2016.0,1.0,Series,6,6.6000000000000005,ACTION
2017.0,0.0,Movie,183,6.095081967213115,ACTION
2017.0,0.0,Series,36,7.041666666666667,ACTION
2017.0,1.0,Movie,7,6.228571428571429,ACTION
2017.0,1.0,Series,8,7.125,ACTION
2018.0,0.0,Movie,174,5.875862068965517,ACTION
2018.0,0.0,Series,43,6.813953488372093,ACTION
2018.0,1.0,Movie,8,6.0875,ACTION
2018.0,1.0,Series,15,7.133333333333334,ACTION
2019.0,0.0,Movie,143,5.952447552447553,ACTION
2019.0,0.0,Series,52,6.975,ACTION
2019.0,1.0,Movie,11,6.281818181818181,ACTION
2019.0,1.0,Series,7,7.457142857142857,ACTION
2020.0,0.0,Movie,67,5.431343283582089,ACTION
2020.0,0.0,Series,39,7.071794871794872,ACTION
2020.0,1.0,Movie,18,5.633333333333334,ACTION
2021.0,0.0,Movie,6,5.833333333333333,ACTION
2021.0,0.0,Series,6,7.483333333333333,ACTION
2010.0,0.0,Movie,1,7.4,ADULT
2011.0,0.0,Series,1,5.9,ADULT
2010.0,0.0,Movie,38,6.378947368421053,ADVENTURE
2010.0,0.0,Series,11,7.418181818181818,ADVENTURE
2011.0,0.0,Movie,54,6.205555555555556,ADVENTURE
2011.0,0.0,Series,11,7.181818181818182,ADVENTURE
2011.0,1.0,Series,1,6.6,ADVENTURE
2012.0,0.0,Movie,57,6.514035087719298,ADVENTURE
2012.0,0.0,Series,15,7.08,ADVENTURE
2012.0,1.0,Series,1,8.0,ADVENTURE
2013.0,0.0,Movie,65,6.2907692307692304,ADVENTURE
2013.0,0.0,Series,19,7.221052631578947,ADVENTURE
2013.0,1.0,Series,1,8.0,ADVENTURE
2014.0,0.0,Movie,66,6.484848484848484,ADVENTURE
2014.0,0.0,Series,24,7.1000000000000005,ADVENTURE
2014.0,1.0,Series,3,6.566666666666666,ADVENTURE
2015.0,0.0,Movie,88,6.260227272727272,ADVENTURE
2015.0,0.0,Series,23,6.956521739130435,ADVENTURE
2015.0,1.0,Movie,2,6.0,ADVENTURE
2015.0,1.0,Series,4,6.625,ADVENTURE
2016.0,0.0,Movie,91,6.031868131868132,ADVENTURE
2016.0,0.0,Series,24,7.491666666666667,ADVENTURE
2016.0,1.0,Movie,3,6.033333333333334,ADVENTURE
2016.0,1.0,Series,5,6.88,ADVENTURE
2017.0,0.0,Movie,112,6.011607142857143,ADVENTURE
2017.0,0.0,Series,31,6.935483870967742,ADVENTURE
2017.0,1.0,Movie,1,7.3,ADVENTURE
2017.0,1.0,Series,12,6.908333333333334,ADVENTURE
2018.0,0.0,Movie,109,5.937614678899083,ADVENTURE
2018.0,0.0,Series,36,7.066666666666666,ADVENTURE
2018.0,1.0,Movie,4,6.375,ADVENTURE
2018.0,1.0,Series,12,6.9750000000000005,ADVENTURE
2019.0,0.0,Movie,90,6.096666666666668,ADVENTURE
2019.0,0.0,Series,33,7.057575757575758,ADVENTURE
2019.0,1.0,Movie,8,6.0125,ADVENTURE
2019.0,1.0,Series,7,7.2,ADVENTURE
2020.0,0.0,Movie,44,5.704545454545454,ADVENTURE
2020.0,0.0,Series,29,6.889655172413794,ADVENTURE
2020.0,1.0,Movie,9,6.266666666666667,ADVENTURE
2021.0,0.0,Movie,7,5.685714285714285,ADVENTURE
2021.0,0.0,Series,4,7.55,ADVENTURE
2010.0,0.0,Movie,24,6.808333333333334,ANIMATION
2010.0,0.0,Series,27,7.192592592592592,ANIMATION
2011.0,0.0,Movie,36,6.719444444444445,ANIMATION
2011.0,0.0,Series,25,7.207999999999999,ANIMATION
2011.0,1.0,Movie,1,6.3,ANIMATION
2011.0,1.0,Series,1,6.6,ANIMATION
2012.0,0.0,Movie,36,7.077777777777778,ANIMATION
2012.0,0.0,Series,36,7.327777777777778,ANIMATION
2012.0,1.0,Series,1,8.0,ANIMATION
2013.0,0.0,Movie,42,6.369047619047619,ANIMATION
2013.0,0.0,Series,32,6.73125,ANIMATION
2013.0,1.0,Series,3,6.6000000000000005,ANIMATION
2014.0,0.0,Movie,37,6.537837837837838,ANIMATION
2014.0,0.0,Series,44,7.170454545454546,ANIMATION
2014.0,1.0,Series,3,6.8,ANIMATION
2015.0,0.0,Movie,48,6.552083333333333,ANIMATION
2015.0,0.0,Series,57,7.03859649122807,ANIMATION
2015.0,1.0,Series,6,6.883333333333333,ANIMATION
2016.0,0.0,Movie,48,6.341666666666666,ANIMATION
2016.0,0.0,Series,55,7.152727272727272,ANIMATION
2016.0,1.0,Series,10,6.9,ANIMATION
2017.0,0.0,Movie,73,6.309589041095891,ANIMATION
2017.0,0.0,Series,55,6.718181818181818,ANIMATION
2017.0,1.0,Series,11,6.945454545454546,ANIMATION
2018.0,0.0,Movie,54,6.416666666666667,ANIMATION
2018.0,0.0,Series,73,7.053424657534246,ANIMATION
2018.0,1.0,Series,21,6.8047619047619055,ANIMATION
2019.0,0.0,Movie,64,6.228125,ANIMATION
2019.0,0.0,Series,68,7.086764705882352,ANIMATION
2019.0,1.0,Movie,2,7.85,ANIMATION
2019.0,1.0,Series,7,7.371428571428572,ANIMATION
2020.0,0.0,Movie,49,5.924489795918368,ANIMATION
2020.0,0.0,Series,63,7.014285714285714,ANIMATION
2020.0,1.0,Movie,3,6.8,ANIMATION
2021.0,0.0,Movie,4,7.125,ANIMATION
2021.0,0.0,Series,11,7.7,ANIMATION
2010.0,0.0,Movie,17,7.2823529411764705,BIOGRAPHY
2010.0,0.0,Series,2,7.75,BIOGRAPHY
2011.0,0.0,Movie,18,7.033333333333333,BIOGRAPHY
2012.0,0.0,Movie,15,7.239999999999999,BIOGRAPHY
2012.0,0.0,Series,3,7.633333333333333,BIOGRAPHY
2013.0,0.0,Movie,31,7.025806451612904,BIOGRAPHY
2014.0,0.0,Movie,33,6.836363636363636,BIOGRAPHY
2014.0,0.0,Series,2,6.9,BIOGRAPHY
2014.0,1.0,Movie,2,6.95,BIOGRAPHY
2015.0,0.0,Movie,49,6.8979591836734695,BIOGRAPHY
2015.0,0.0,Series,4,7.775,BIOGRAPHY
2015.0,1.0,Movie,1,7.6,BIOGRAPHY
2015.0,1.0,Series,1,8.8,BIOGRAPHY
2016.0,0.0,Movie,49,6.893877551020409,BIOGRAPHY
2016.0,0.0,Series,6,8.066666666666666,BIOGRAPHY
2016.0,1.0,Movie,3,6.733333333333333,BIOGRAPHY
2016.0,1.0,Series,1,8.7,BIOGRAPHY
2017.0,0.0,Movie,63,6.873015873015873,BIOGRAPHY
2017.0,0.0,Series,7,7.914285714285714,BIOGRAPHY
2017.0,1.0,Movie,3,6.8999999999999995,BIOGRAPHY
2017.0,1.0,Series,2,6.95,BIOGRAPHY
2018.0,0.0,Movie,60,6.78,BIOGRAPHY
2018.0,0.0,Series,5,7.959999999999999,BIOGRAPHY
2018.0,1.0,Movie,9,6.577777777777778,BIOGRAPHY
2018.0,1.0,Series,1,8.2,BIOGRAPHY
2019.0,0.0,Movie,57,6.715789473684211,BIOGRAPHY
2019.0,0.0,Series,4,7.125,BIOGRAPHY
2019.0,1.0,Movie,13,7.06923076923077,BIOGRAPHY
2019.0,1.0,Series,3,8.166666666666666,BIOGRAPHY
2020.0,0.0,Movie,17,6.2823529411764705,BIOGRAPHY
2020.0,0.0,Series,7,7.3999999999999995,BIOGRAPHY
2020.0,1.0,Movie,8,6.5875,BIOGRAPHY
2021.0,0.0,Movie,4,6.925,BIOGRAPHY
2021.0,0.0,Series,1,8.2,BIOGRAPHY
2010.0,0.0,Movie,124,6.247580645161291,COMEDY
2010.0,0.0,Series,30,7.526666666666667,COMEDY
2011.0,0.0,Movie,151,6.105960264900662,COMEDY
2011.0,0.0,Series,29,7.56551724137931,COMEDY
2012.0,0.0,Movie,180,6.146111111111111,COMEDY
2012.0,0.0,Series,43,7.232558139534884,COMEDY
2012.0,1.0,Movie,1,5.3,COMEDY
2012.0,1.0,Series,1,8.0,COMEDY
2013.0,0.0,Movie,179,5.989944134078213,COMEDY
2013.0,0.0,Series,46,7.078260869565218,COMEDY
2013.0,1.0,Series,4,7.074999999999999,COMEDY
2014.0,0.0,Movie,212,6.1183962264150935,COMEDY
2014.0,0.0,Series,57,7.2105263157894735,COMEDY
2014.0,1.0,Movie,1,6.3,COMEDY
2014.0,1.0,Series,4,6.625,COMEDY
2015.0,0.0,Movie,240,6.00875,COMEDY
2015.0,0.0,Series,75,7.246666666666667,COMEDY
2015.0,1.0,Movie,2,6.0,COMEDY
2015.0,1.0,Series,10,6.9799999999999995,COMEDY
2016.0,0.0,Movie,285,5.991228070175438,COMEDY
2016.0,0.0,Series,74,7.528378378378378,COMEDY
2016.0,1.0,Movie,7,6.1000000000000005,COMEDY
2016.0,1.0,Series,15,7.093333333333334,COMEDY
2017.0,0.0,Movie,366,5.997814207650273,COMEDY
2017.0,0.0,Series,78,7.12948717948718,COMEDY
2017.0,1.0,Movie,14,5.878571428571428,COMEDY
2017.0,1.0,Series,24,7.1875,COMEDY
2018.0,0.0,Movie,340,5.989117647058824,COMEDY
2018.0,0.0,Series,83,7.03855421686747,COMEDY
2018.0,1.0,Movie,28,6.05,COMEDY
2018.0,1.0,Series,35,6.962857142857143,COMEDY
2019.0,0.0,Movie,256,5.88515625,COMEDY
2019.0,0.0,Series,81,7.12962962962963,COMEDY
2019.0,1.0,Movie,35,6.085714285714285,COMEDY
2019.0,1.0,Series,21,7.414285714285714,COMEDY
2020.0,0.0,Movie,168,5.895833333333333,COMEDY
2020.0,0.0,Series,69,6.766666666666667,COMEDY
2020.0,1.0,Movie,32,5.86875,COMEDY
2021.0,0.0,Movie,17,6.358823529411764,COMEDY
2021.0,0.0,Series,10,7.1,COMEDY
2010.0,0.0,Movie,44,6.652272727272727,CRIME
2010.0,0.0,Series,11,7.818181818181818,CRIME
2010.0,1.0,Series,1,6.0,CRIME
2011.0,0.0,Movie,45,6.431111111111111,CRIME
2011.0,0.0,Series,11,7.345454545454545,CRIME
2011.0,1.0,Movie,1,7.8,CRIME
2012.0,0.0,Movie,45,6.56,CRIME
2012.0,0.0,Series,12,7.675,CRIME
2013.0,0.0,Movie,76,6.368421052631579,CRIME
2013.0,0.0,Series,17,7.764705882352941,CRIME
2013.0,1.0,Movie,1,6.7,CRIME
2013.0,1.0,Series,1,8.1,CRIME
2014.0,0.0,Movie,73,6.415068493150685,CRIME
2014.0,0.0,Series,18,7.566666666666666,CRIME
2015.0,0.0,Movie,83,6.3,CRIME
2015.0,0.0,Series,31,7.293548387096774,CRIME
2015.0,1.0,Movie,2,7.699999999999999,CRIME
2015.0,1.0,Series,2,8.7,CRIME
2016.0,0.0,Movie,98,6.264285714285714,CRIME
2016.0,0.0,Series,34,7.358823529411764,CRIME
2016.0,1.0,Movie,4,7.1000000000000005,CRIME
2017.0,0.0,Movie,115,6.203478260869565,CRIME
2017.0,0.0,Series,41,7.3341463414634145,CRIME
2017.0,1.0,Movie,9,6.022222222222222,CRIME
2017.0,1.0,Series,8,8.075,CRIME
2018.0,0.0,Movie,116,6.067241379310344,CRIME
2018.0,0.0,Series,47,7.1255319148936165,CRIME
2018.0,1.0,Movie,4,5.95,CRIME
2018.0,1.0,Series,18,7.477777777777778,CRIME
2019.0,0.0,Movie,112,5.9366071428571425,CRIME
2019.0,0.0,Series,45,7.0377777777777775,CRIME
2019.0,1.0,Movie,17,6.347058823529412,CRIME
2019.0,1.0,Series,14,7.535714285714286,CRIME
2020.0,0.0,Movie,45,5.806666666666667,CRIME
2020.0,0.0,Series,48,7.139583333333333,CRIME
2020.0,1.0,Movie,20,6.125,CRIME
2021.0,0.0,Movie,2,6.6,CRIME
2021.0,0.0,Series,4,6.4,CRIME
2021.0,1.0,Movie,1,7.2,CRIME
2010.0,0.0,Movie,13,7.3307692307692305,DOCUMENTARY
