Year,Original,Series or Movie,Writer,Title,First_Writer,Films,Writers,Rating,Genre
2020.0,0.0,Movie,Andy Daniluc,No Festival,Andy Daniluc,1,1,9.7,MUSIC
2020.0,0.0,Movie,Andy Daniluc,No Festival,Andy Daniluc,1,1,9.7,DOCUMENTARY
2013.0,0.0,Series,"Justin Roiland, Dan Harmon",Rick and Morty,Justin Roiland,1,1,9.2,ANIMATION
2021.0,0.0,Series,Earl Crowe,Im Sorry,Earl Crowe,1,1,9.2,DOCUMENTARY
2013.0,0.0,Series,"Justin Roiland, Dan Harmon",Rick and Morty,Justin Roiland,1,1,9.2,COMEDY
2013.0,0.0,Series,"Justin Roiland, Dan Harmon",Rick and Morty,Justin Roiland,1,1,9.2,ADVENTURE
2013.0,0.0,Series,"Justin Roiland, Dan Harmon",Rick and Morty,Justin Roiland,1,1,9.2,SCI-FI
2010.0,0.0,Series,"Steven Moffat, Mark Gatiss",Sherlock,Steven Moffat,1,1,9.1,THRILLER
2014.0,0.0,Series,Juliano Enrico,Irmão do Jorel,Juliano Enrico,1,1,9.1,ANIMATION
2010.0,0.0,Series,"Steven Moffat, Mark Gatiss",Sherlock,Steven Moffat,1,1,9.1,CRIME
2010.0,0.0,Series,"Steven Moffat, Mark Gatiss",Sherlock,Steven Moffat,1,1,9.1,MYSTERY
2014.0,0.0,Series,Juliano Enrico,Irmão do Jorel,Juliano Enrico,1,1,9.1,FAMILY
2014.0,0.0,Series,Juliano Enrico,Irmão do Jorel,Juliano Enrico,1,1,9.1,COMEDY
2019.0,0.0,Movie,"Paola Boncompagni, Rosa Russo",One Girl,Paola Boncompagni,1,1,9.1,DOCUMENTARY
2010.0,0.0,Series,"Steven Moffat, Mark Gatiss",Sherlock,Steven Moffat,1,1,9.1,DRAMA
2017.0,0.0,Series,Kenneth Michiels,Stranger,Kenneth Michiels,1,1,9.0,DRAMA
2017.0,0.0,Series,Kenneth Michiels,Stranger,Kenneth Michiels,1,1,9.0,DOCUMENTARY
2017.0,0.0,Series,Kenneth Michiels,Stranger,Kenneth Michiels,1,1,9.0,SPORT
2014.0,0.0,Series,Noah Hawley,Fargo,Noah Hawley,1,1,8.9,CRIME
2019.0,1.0,Series,Ava DuVernay,When They See Us,Ava DuVernay,1,1,8.9,DRAMA
2014.0,0.0,Series,Noah Hawley,Fargo,Noah Hawley,1,1,8.9,DRAMA
2019.0,1.0,Series,Ava DuVernay,When They See Us,Ava DuVernay,1,1,8.9,HISTORY
2019.0,1.0,Series,Ava DuVernay,When They See Us,Ava DuVernay,1,1,8.9,BIOGRAPHY
2016.0,0.0,Series,Yoshihiro Togashi,Hunter X Hunter (2011),Yoshihiro Togashi,1,1,8.9,ACTION
2016.0,0.0,Series,Yoshihiro Togashi,Hunter X Hunter (2011),Yoshihiro Togashi,1,1,8.9,ADVENTURE
2014.0,0.0,Series,Grant Orchard,Hey Duggee,Grant Orchard,1,1,8.9,FAMILY
2017.0,0.0,Series,"Adrien Bodson, Marc-André Lavoie",Innocent,Adrien Bodson,1,1,8.9,COMEDY
2014.0,0.0,Series,Noah Hawley,Fargo,Noah Hawley,1,1,8.9,THRILLER
2016.0,0.0,Series,Yoshihiro Togashi,Hunter X Hunter (2011),Yoshihiro Togashi,1,1,8.9,COMEDY
2014.0,0.0,Series,Grant Orchard,Hey Duggee,Grant Orchard,1,1,8.9,ANIMATION
2016.0,0.0,Series,Yoshihiro Togashi,Hunter X Hunter (2011),Yoshihiro Togashi,1,1,8.9,ANIMATION
2016.0,0.0,Series,Yoshihiro Togashi,Hunter X Hunter (2011),Yoshihiro Togashi,1,1,8.9,FANTASY
2019.0,1.0,Series,Ava DuVernay,When They See Us,Ava DuVernay,1,1,8.9,CRIME
2016.0,0.0,Series,Aunty Donna,Aunty Donnas Big Ol House of Fun,Aunty Donna,1,1,8.8,COMEDY
2015.0,0.0,Series,"Erick C. Salud, Rondel Lindayag",Doble Kara,Erick C. Salud,1,1,8.8,MYSTERY
2015.0,1.0,Series,"Paul Eckstein, Chris Brancato, Doug Miro, Carlo Bernard",Narcos,Paul Eckstein,1,1,8.8,THRILLER
2017.0,1.0,Series,"Baran bo Odar, Jantje Friese",Dark,Baran bo Odar,1,1,8.8,MYSTERY
2017.0,1.0,Series,"Baran bo Odar, Jantje Friese",Dark,Baran bo Odar,1,1,8.8,CRIME
2015.0,0.0,Series,"Erick C. Salud, Rondel Lindayag",Doble Kara,Erick C. Salud,1,1,8.8,ROMANCE
2014.0,0.0,Series,Steven Knight,Peaky Blinders,Steven Knight,1,1,8.8,CRIME
2014.0,0.0,Series,Steven Knight,Peaky Blinders,Steven Knight,1,1,8.8,DRAMA
2015.0,0.0,Series,"Erick C. Salud, Rondel Lindayag",Doble Kara,Erick C. Salud,1,1,8.8,COMEDY
2011.0,0.0,Series,Charlie Brooker,Black Mirror,Charlie Brooker,1,1,8.8,DRAMA
2015.0,0.0,Series,"Erick C. Salud, Rondel Lindayag",Doble Kara,Erick C. Salud,1,1,8.8,THRILLER
2010.0,0.0,Movie,Christopher Nolan,Inception,Christopher Nolan,1,1,8.8,SCI-FI
2015.0,0.0,Series,"Erick C. Salud, Rondel Lindayag",Doble Kara,Erick C. Salud,1,1,8.8,FAMILY
2015.0,0.0,Series,"Erick C. Salud, Rondel Lindayag",Doble Kara,Erick C. Salud,1,1,8.8,DRAMA
2010.0,0.0,Movie,Christopher Nolan,Inception,Christopher Nolan,1,1,8.8,ACTION
2015.0,0.0,Series,"Erick C. Salud, Rondel Lindayag",Doble Kara,Erick C. Salud,1,1,8.8,CRIME
2010.0,0.0,Movie,Christopher Nolan,Inception,Christopher Nolan,1,1,8.8,THRILLER
2017.0,1.0,Series,"Baran bo Odar, Jantje Friese",Dark,Baran bo Odar,1,1,8.8,THRILLER
2010.0,0.0,Movie,Christopher Nolan,Inception,Christopher Nolan,1,1,8.8,ADVENTURE
2015.0,1.0,Series,"Paul Eckstein, Chris Brancato, Doug Miro, Carlo Bernard",Narcos,Paul Eckstein,1,1,8.8,DRAMA
2011.0,0.0,Series,Charlie Brooker,Black Mirror,Charlie Brooker,1,1,8.8,THRILLER
2011.0,0.0,Series,Charlie Brooker,Black Mirror,Charlie Brooker,1,1,8.8,SCI-FI
2015.0,1.0,Series,"Paul Eckstein, Chris Brancato, Doug Miro, Carlo Bernard",Narcos,Paul Eckstein,1,1,8.8,CRIME
2017.0,1.0,Series,"Baran bo Odar, Jantje Friese",Dark,Baran bo Odar,1,1,8.8,DRAMA
2015.0,1.0,Series,"Paul Eckstein, Chris Brancato, Doug Miro, Carlo Bernard",Narcos,Paul Eckstein,1,1,8.8,BIOGRAPHY
2017.0,1.0,Series,"Baran bo Odar, Jantje Friese",Dark,Baran bo Odar,1,1,8.8,SCI-FI
2012.0,0.0,Movie,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,MYSTERY
2018.0,1.0,Series,Norm MacDonald,Norm Macdonald Has a Show,Norm MacDonald,1,1,8.7,COMEDY
2016.0,1.0,Series,"Ross Duffer, Matt Duffer",Stranger Things,Ross Duffer,1,1,8.7,FANTASY
2011.0,0.0,Movie,Julian Fellowes,Downton Abbey,Julian Fellowes,1,1,8.7,ROMANCE
2017.0,0.0,Series,Moira Walley-Beckett,Anne with an E,Moira Walley-Beckett,1,1,8.7,FAMILY
2016.0,0.0,Series,"Giovanni Bianconi, Stefano Bises, Ludovica Rampoldi, Roberto Saviano, Leonardo Fasoli",Gomorra -  La serie,Giovanni Bianconi,1,1,8.7,DRAMA
2020.0,0.0,Series,"Phin Glynn, Simon Evans",Staged,Phin Glynn,1,1,8.7,COMEDY
2012.0,0.0,Series,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,DRAMA
2012.0,0.0,Movie,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,CRIME
2011.0,0.0,Movie,Julian Fellowes,Downton Abbey,Julian Fellowes,1,1,8.7,DRAMA
2016.0,1.0,Series,"Ross Duffer, Matt Duffer",Stranger Things,Ross Duffer,1,1,8.7,SCI-FI
2016.0,0.0,Series,Dan Fogelman,This Is Us,Dan Fogelman,1,1,8.7,ROMANCE
2012.0,0.0,Movie,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,DRAMA
2012.0,0.0,Series,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,MYSTERY
2016.0,1.0,Series,"Ross Duffer, Matt Duffer",Stranger Things,Ross Duffer,1,1,8.7,THRILLER
2016.0,1.0,Series,Peter Morgan,The Crown,Peter Morgan,1,1,8.7,HISTORY
2015.0,0.0,Series,"Peter Gould, Vince Gilligan",Better Call Saul,Peter Gould,1,1,8.7,DRAMA
2014.0,1.0,Series,Raphael Bob-Waksberg,BoJack Horseman,Raphael Bob-Waksberg,1,1,8.7,ANIMATION
2014.0,1.0,Series,Raphael Bob-Waksberg,BoJack Horseman,Raphael Bob-Waksberg,1,1,8.7,COMEDY
2012.0,0.0,Series,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,THRILLER
2016.0,0.0,Series,"Giovanni Bianconi, Stefano Bises, Ludovica Rampoldi, Roberto Saviano, Leonardo Fasoli",Gomorra -  La serie,Giovanni Bianconi,1,1,8.7,THRILLER
2016.0,1.0,Series,"Ross Duffer, Matt Duffer",Stranger Things,Ross Duffer,1,1,8.7,DRAMA
2019.0,0.0,Movie,"Jan Philipp Weyl, Michael Wogh",Running Against the Wind,Jan Philipp Weyl,1,1,8.7,DRAMA
2012.0,0.0,Series,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,CRIME
2016.0,1.0,Series,Peter Morgan,The Crown,Peter Morgan,1,1,8.7,DRAMA
2020.0,0.0,Series,"Phin Glynn, Simon Evans",Staged,Phin Glynn,1,1,8.7,DRAMA
2012.0,0.0,Movie,Jed Mercurio,Line of Duty,Jed Mercurio,1,1,8.7,THRILLER
2016.0,0.0,Series,Dan Fogelman,This Is Us,Dan Fogelman,1,1,8.7,DRAMA
2013.0,1.0,Series,Beau Willimon,House of Cards,Beau Willimon,1,1,8.7,DRAMA
