MainGenre,Year,Original,Series or Movie,IMDb Score,BoxOfficeProfits,color,Title,Genre
ACTION,2010.0,0.0,Movie,7.1,0.0,#ff3351,Golden Slumber,"Action, Drama, Thriller"
ACTION,2010.0,0.0,Movie,7.0,90380162.0,#001bff,Red,"Action, Comedy, Crime, Thriller"
ACTION,2010.0,0.0,Movie,6.8,44745.0,#001bff,The Outrage,"Action, Crime, Drama, Thriller"
ACTION,2010.0,0.0,Movie,6.2,1288549.0,#001bff,Dabangg,"Action, Comedy"
ACTION,2010.0,0.0,Movie,5.1,0.0,#ff3351,Wind Blast,Action
ACTION,2010.0,0.0,Movie,6.4,52000688.0,#001bff,Predators,"Action, Adventure, Sci-Fi, Thriller"
ACTION,2010.0,0.0,Movie,7.5,0.0,#ff3351,No Mercy,"Action, Crime, Thriller"
ACTION,2010.0,0.0,Movie,5.8,0.0,#ff3351,Paris Express,"Action, Comedy, Crime"
ACTION,2010.0,0.0,Movie,6.9,0.0,#ff3351,The Secret Reunion,"Action, Drama, Thriller"
ACTION,2010.0,0.0,Movie,7.8,0.0,#ff3351,The Free State of Jones,"Short, Action, Drama, History"
ACTION,2010.0,0.0,Movie,6.8,81562942.0,#001bff,Unstoppable,"Action, Thriller"
ACTION,2010.0,0.0,Movie,6.5,0.0,#ff3351,Lupin the 3rd TV Special: The Last Job,"Animation, Action, Adventure, Crime, Fantasy"
ACTION,2010.0,0.0,Movie,5.5,0.0,#ff3351,BKO: Bangkok Knockout,Action
ACTION,2010.0,0.0,Movie,6.9,0.0,#ff3351,Fate/stay night Unlimited Blade Works,"Animation, Action, Drama, Fantasy, Thriller"
ACTION,2010.0,0.0,Movie,5.8,0.0,#ff3351,Once a Gangster,"Action, Comedy, Crime"
ACTION,2010.0,0.0,Movie,6.7,0.0,#ff3351,The Unjust,"Action, Crime, Drama"
ACTION,2010.0,0.0,Movie,6.8,0.0,#ff3351,The Stool Pigeon,"Action, Drama, Thriller"
ACTION,2010.0,0.0,Movie,6.7,77222099.0,#001bff,The A-Team,"Action, Adventure, Thriller"
ACTION,2010.0,0.0,Movie,6.4,0.0,#ff3351,Yu-Gi-Oh! Bonds Beyond Time,"Animation, Action, Fantasy, Sci-Fi"
