Title,Series or Movie,IMDb Score,Genre,Year2
Sherlock,Series,9.1,CRIME,2010
Young Justice,Series,8.6,CRIME,2010
Luther,Series,8.5,CRIME,2010
Millennium,Series,8.4,CRIME,2010
Scooby-Doo!: Mystery Incorporated,Series,8.0,CRIME,2010
Durarara!!,Series,7.9,CRIME,2010
Republic of Doyle,Series,7.3,CRIME,2010
Vexed,Series,7.3,CRIME,2010
Jack Taylor,Series,7.2,CRIME,2010
El Cartel 2,Series,6.9,CRIME,2010
Morden i Sandhamn,Series,6.8,CRIME,2010
Exhibit A,Series,6.0,CRIME,2010
The Bridge,Series,8.6,CRIME,2011
Top Boy,Series,8.4,CRIME,2011
Top Boy,Series,8.4,CRIME,2011
Homeland,Series,8.3,CRIME,2011
The Borgias,Series,7.9,CRIME,2011
Death in Paradise,Series,7.8,CRIME,2011
Tiger and Bunny,Series,7.5,CRIME,2011
Beyond Scared Straight!,Series,7.3,CRIME,2011
Those Who Kill,Series,7.2,CRIME,2011
Dragons Dogma,Series,7.1,CRIME,2011
Arne Dahl,Series,6.8,CRIME,2011
Instynkt,Series,3.9,CRIME,2011
Line of Duty,Series,8.7,CRIME,2012
"Pablo Escobar, el patron del mal",Series,8.5,CRIME,2012
Longmire,Series,8.3,CRIME,2012
Miss Fishers Murder Mysteries,Series,8.3,CRIME,2012
Psycho-Pass,Series,8.2,CRIME,2012
Subat,Series,8.1,CRIME,2012
Jormungand,Series,7.5,CRIME,2012
Arrow,Series,7.5,CRIME,2012
Shokuzai,Series,7.2,CRIME,2012
Paradoks,Series,7.0,CRIME,2012
Ace Attorney,Series,6.6,CRIME,2012
Varg Veum,Series,6.2,CRIME,2012
Wentworth,Series,8.6,CRIME,2013
Hannibal,Series,8.5,CRIME,2013
Broadchurch,Series,8.4,CRIME,2013
The Americans,Series,8.4,CRIME,2013
Brooklyn Nine-Nine,Series,8.4,CRIME,2013
Ray Donovan,Series,8.3,CRIME,2013
The Fall,Series,8.2,CRIME,2013
Shetland,Series,8.1,CRIME,2013
Orange Is the New Black,Series,8.1,CRIME,2013
Ripper Street,Series,8.1,CRIME,2013
The Blacklist,Series,8.0,CRIME,2013
2 Weeks,Series,8.0,CRIME,2013
Top of the Lake,Series,7.5,CRIME,2013
Dicte,Series,7.3,CRIME,2013
De Ridder,Series,7.1,CRIME,2013
El Senor de los cielos,Series,6.8,CRIME,2013
The Maria Lang Collection,Series,6.4,CRIME,2013
Fjallbackamorden,Series,5.9,CRIME,2013
Fargo,Series,8.9,CRIME,2014
Peaky Blinders,Series,8.8,CRIME,2014
Der Tatortreiniger,Series,8.5,CRIME,2014
How to Get Away with Murder,Series,8.1,CRIME,2014
Hollands Hoop,Series,8.0,CRIME,2014
Lilyhammer,Series,8.0,CRIME,2014
Bad Guys,Series,7.9,CRIME,2014
Gotham,Series,7.9,CRIME,2014
Janet King,Series,7.8,CRIME,2014
Inspiring Generation,Series,7.5,CRIME,2014
Magic Kaito 1412,Series,7.5,CRIME,2014
Senora Acero,Series,7.2,CRIME,2014
Friesland,Series,7.1,CRIME,2014
Scorpion,Series,7.1,CRIME,2014
From Dusk Till Dawn,Series,6.9,CRIME,2014
Detective Conan,Series,6.8,CRIME,2014
Odd Squad,Series,6.5,CRIME,2014
Matador,Series,5.7,CRIME,2014
Doble Kara,Series,8.8,CRIME,2015
Narcos,Series,8.8,CRIME,2015
Better Call Saul,Series,8.7,CRIME,2015
Marvels Daredevil,Series,8.6,CRIME,2015
Making a Murderer,Series,8.6,CRIME,2015
Spotlight,Series,8.1,CRIME,2015
Marvels Jessica Jones,Series,7.9,CRIME,2015
The Hateful Eight: Extended Version,Series,7.8,CRIME,2015
American Crime,Series,7.8,CRIME,2015
Spotless,Series,7.8,CRIME,2015
iZombie,Series,7.8,CRIME,2015
Limitless,Series,7.7,CRIME,2015
Hinterland,Series,7.6,CRIME,2015
Murder Maps,Series,7.5,CRIME,2015
London Spy,Series,7.5,CRIME,2015
Blindspot,Series,7.4,CRIME,2015
Scream,Series,7.2,CRIME,2015
Mar de Plástico,Series,7.2,CRIME,2015
O Grande Gonzalez,Series,7.1,CRIME,2015
Aquarius,Series,7.1,CRIME,2015
Gomorra -  La serie,Series,8.7,CRIME,2016
Signal,Series,8.6,CRIME,2016
The Assassination of Gianni Versace,Series,8.4,CRIME,2016
46,Series,8.4,CRIME,2016
The People v. O.J. Simpson,Series,8.4,CRIME,2016
Animal Kingdom,Series,8.2,CRIME,2016
El Marginal,Series,8.2,CRIME,2016
Real Detective,Series,8.1,CRIME,2016
Queen of the South,Series,7.9,CRIME,2016
Lethal Weapon,Series,7.9,CRIME,2016
Bungo Stray Dogs,Series,7.7,CRIME,2016
Hap and Leonard,Series,7.7,CRIME,2016
The Five,Series,7.7,CRIME,2016
Midnight Sun,Series,7.5,CRIME,2016
Springvloed,Series,7.5,CRIME,2016
Marcella,Series,7.4,CRIME,2016
Crime Files: The Homefront,Series,7.4,CRIME,2016
NSU German History X,Series,7.3,CRIME,2016
Marvels Luke Cage,Series,7.3,CRIME,2016
Under Arrest,Series,7.3,CRIME,2016
Dark,Series,8.8,CRIME,2017
MINDHUNTER,Series,8.6,CRIME,2017
Twin Peaks,Series,8.5,CRIME,2017
Marvels The Punisher,Series,8.5,CRIME,2017
The Defiant Ones,Series,8.5,CRIME,2017
Ozark,Series,8.4,CRIME,2017
Tunnel,Series,8.3,CRIME,2017
La casa de papel,Series,8.3,CRIME,2017
Day and Night,Series,8.3,CRIME,2017
Strong Girl Bong-soon,Series,8.2,CRIME,2017
Three Girls,Series,8.2,CRIME,2017
American Vandal,Series,8.2,CRIME,2017
Happy!,Series,8.2,CRIME,2017
The End of the F***ing World,Series,8.1,CRIME,2017
Trapped,Series,8.1,CRIME,2017
The Keepers,Series,8.1,CRIME,2017
Defendant,Series,8.1,CRIME,2017
Bad Guys: Vile City,Series,8.0,CRIME,2017
Suspicious Partner,Series,7.9,CRIME,2017
Suburra: Blood on Rome,Series,7.9,CRIME,2017
Age of Rebellion,Series,8.7,CRIME,2018
Narcos: Mexico,Series,8.4,CRIME,2018
The Mechanism,Series,8.4,CRIME,2018
Babylon Berlin,Series,8.4,CRIME,2018
Live,Series,8.4,CRIME,2018
Wild District,Series,8.3,CRIME,2018
Wild Wild Country,Series,8.2,CRIME,2018
Unforgotten,Series,8.2,CRIME,2018
Dirty Money,Series,8.2,CRIME,2018
Come and Hug Me,Series,8.1,CRIME,2018
Bodyguard,Series,8.1,CRIME,2018
Banana Fish,Series,8.0,CRIME,2018
Bad Banks,Series,8.0,CRIME,2018
Unsolved,Series,7.9,CRIME,2018
Flint Town,Series,7.9,CRIME,2018
Girl from Nowhere,Series,7.8,CRIME,2018
Vermin,Series,7.8,CRIME,2018
Good Girls,Series,7.8,CRIME,2018
Titans,Series,7.7,CRIME,2018
You,Series,7.7,CRIME,2018
The World Between Us,Series,9.1,CRIME,2019
When They See Us,Series,8.9,CRIME,2019
Delhi Crime,Series,8.5,CRIME,2019
Agent,Series,8.4,CRIME,2019
Unbelievable,Series,8.4,CRIME,2019
The Fiery Priest,Series,8.1,CRIME,2019
Examination of Conscience,Series,8.0,CRIME,2019
Dont F**k with Cats: Hunting an Internet Killer,Series,8.0,CRIME,2019
How to Sell Drugs Online (Fast),Series,7.9,CRIME,2019
Informer,Series,7.9,CRIME,2019
Undercover,Series,7.9,CRIME,2019
